IDENTITY_ID,TARGET_FLAG,OB_VC_Actv_Days,IB_VC_Actv_Days,GPRS_Actv_Days,OB_SMS_Actv_Days,IB_SMS_Actv_Days,RECH_Actv_Days,RECH_AMT,GPRS_REV,GPRS_SUB_REV,GPRS_FLAG,RECH_FLAG,GPRS_VOL_MB,Tech_Awareness,NW Experience,Sites_Perc,Target_SUB_Perc,Target_Conv_Perc
15589,0,11,9,1,1,3,1,100,3.75,0,1,1,0.2,0,0.74,0.85,0.0756,0.0531
15590,0,9,18,11,10,13,2,95,8.1,0,1,1,0.4,0,1,0.9,0.0705,0.0186
15591,1,28,29,20,20,24,11,550,10.8,0,1,1,122.9,1,1,0.38,0.0351,0.0662
15592,1,4,22,0,0,1,1,100,0,0,0,1,0,0,0.93,0.9,0.0705,0.0186
15593,0,29,27,1,5,19,8,630,1.35,0,1,1,0,0,0.99,0.54,0.0483,0.0178
15594,1,30,30,0,0,6,16,1025,0,0,0,1,0,0,0.98,0.47,0.0321,0.014
15595,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.78,0.0465,0.0156
15596,0,28,29,22,5,25,16,930,49.95,0,1,1,0.4,0,0.92,0.42,0.0327,0.0091
15597,0,28,29,13,0,7,3,500,0,0,1,1,156.8,1,0.94,0.92,0.0643,0.0382
15598,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0.96,0.41,0.0146,0.0141
15599,1,5,19,19,0,5,5,250,77.666,60.03,1,1,5944.4,1,0.92,0.96,0.0849,0.0671
15600,1,28,29,18,1,4,4,350,0.009,88,1,1,4983.2,1,0.98,0.67,0.0643,0.0194
15601,0,29,28,30,3,8,5,1095,83.303,0,1,1,8377,1,0.97,0.98,0.0903,0.0204
15602,1,6,25,0,0,2,2,110,0,0,0,1,0,0,0.99,0.64,0.0445,0.0345
15603,0,18,21,1,3,4,2,200,1.35,15,1,1,0,0,0.95,0.51,0.0463,0.0073
15604,0,26,27,13,2,2,4,350,14.85,0,1,1,0,0,0.96,0.93,0.0723,0.0294
15605,1,24,24,0,0,2,2,100,0,0,0,1,0,0,0.99,0.8,0.0831,0.0223
15606,1,1,1,11,0,0,2,300,76.191,170,1,1,1382.9,0,0.88,0.92,0.0643,0.0382
15607,0,5,29,1,2,4,1,50,0,0,1,1,0,0,0.94,0.51,0.0463,0.0073
15608,0,10,25,30,0,6,9,990,45.458,567,1,1,6099.1,1,0.97,0.64,0.0709,0.034
15609,0,26,29,24,2,8,4,730,87.033,0,1,1,10565,1,0.98,0.38,0.0385,0.0165
15610,1,3,2,0,6,7,1,100,0,0,0,1,0,0,0.91,0.12,0.0004,0.072
15611,1,0,11,0,0,1,0,0,0,0,0,0,0,0,1,0.42,0.0327,0.0091
15612,1,19,28,1,7,10,9,380,0,0,1,1,0,0,0.99,0.64,0.0445,0.0345
15613,1,6,16,30,0,4,1,100,0,0,1,1,3528.1,1,0.96,0.34,0.0293,0.006
15614,1,7,8,1,1,2,1,30,0,0,1,1,0,0,0.99,0.27,0.028,0.0253
15615,1,9,6,12,1,5,1,50,0,0,1,1,89.4,0,0.99,0.99,0.1007,0.0918
15616,0,2,5,18,1,0,5,545,142.664,318,1,1,3501.7,1,1,0.46,0.0445,-0.0081
15617,1,4,27,2,0,3,1,30,0,0,1,1,0,0,0.93,0.23,0.0269,0.0265
15618,0,27,30,27,0,1,9,840,9.45,0,1,1,0.5,0,0.99,0.96,0.0849,0.0671
15619,0,3,16,3,1,3,1,100,1.35,0,1,1,0.1,0,0.99,0.65,0.0434,-0.0067
